time;V(/in);V(/out);
8,5128e-11;0;1,8;
8,5228e-11;0;1,8;
8,5328e-11;0;1,8;
8,5428e-11;0;1,8;
8,5528e-11;0;1,8;
8,5628e-11;0;1,8;
8,5728e-11;0;1,8;
8,5828e-11;0;1,8;
8,5928e-11;0;1,8;
8,6028e-11;0;1,8;
8,6128e-11;0;1,8;
8,6228e-11;0;1,8;
8,6328e-11;0;1,8;
8,6428e-11;0;1,8;
8,6528e-11;0;1,8;
8,6628e-11;0;1,8;
8,6728e-11;0;1,8;
8,6828e-11;0;1,8;
8,6928e-11;0;1,8;
8,7028e-11;0;1,8;
8,7128e-11;0;1,8;
8,7228e-11;0;1,8;
8,7328e-11;0;1,8;
8,7428e-11;0;1,8;
8,7528e-11;0;1,8;
8,7628e-11;0;1,8;
8,7728e-11;0;1,8;
8,7828e-11;0;1,8;
8,7928e-11;0;1,8;
8,8028e-11;0;1,8;
8,8128e-11;0;1,8;
8,8228e-11;0;1,8;
8,8328e-11;0;1,8;
8,8428e-11;0;1,8;
8,8528e-11;0;1,8;
8,8628e-11;0;1,8;
8,8728e-11;0;1,8;
8,8828e-11;0;1,8;
8,8928e-11;0;1,8;
8,9028e-11;0;1,8;
8,9128e-11;0;1,8;
8,9228e-11;0;1,8;
8,9328e-11;0;1,8;
8,9428e-11;0;1,8;
8,9528e-11;0;1,8;
8,9628e-11;0;1,8;
8,9728e-11;0;1,8;
8,9828e-11;0;1,8;
8,9928e-11;0;1,8;
9,0028e-11;0;1,8;
9,0128e-11;0;1,8;
9,0228e-11;0;1,8;
9,0328e-11;0;1,8;
9,0428e-11;0;1,8;
9,0528e-11;0;1,8;
9,0628e-11;0;1,8;
9,0728e-11;0;1,8;
9,0828e-11;0;1,8;
9,0928e-11;0;1,8;
9,1028e-11;0;1,8;
9,1128e-11;0;1,8;
9,1228e-11;0;1,8;
9,1328e-11;0;1,8;
9,1428e-11;0;1,8;
9,1528e-11;0;1,8;
9,1628e-11;0;1,8;
9,1728e-11;0;1,8;
9,1828e-11;0;1,8;
9,1928e-11;0;1,8;
9,2028e-11;0;1,8;
9,2128e-11;0;1,8;
9,2228e-11;0;1,8;
9,2328e-11;0;1,8;
9,2428e-11;0;1,8;
9,2528e-11;0;1,8;
9,2628e-11;0;1,8;
